      JD - 2.44e6,     RV [m/s], RV ERR [m/s], SMOOTH RV [m/s]
       16229.743,     -2.23932,     0.969233,     -1.54776
       16229.774,     -2.27573,     0.975772,     -1.37260
       16229.785,     -1.71972,      1.00598,     -1.24270
       16229.795,     -2.56976,     0.937956,     -1.14267
       16229.806,     -1.54848,     0.915344,     -1.12713
       16230.636,      1.12040,     0.979236,    -0.972882
       16230.646,     -1.30697,     0.996970,    -0.953681
       16230.656,    -0.687149,     0.993508,    -0.802710
       16230.664,     0.157059,      1.02898,    -0.848586
       16230.679,     -1.21008,      1.10867,    -0.703020
       16230.686,      1.57804,      1.16903,    -0.746805
       16230.694,     -2.02810,      1.07927,    -0.822340
       16230.703,    -0.615044,     0.960220,    -0.892894
       16231.747,     -2.22436,     0.920358,    -0.699473
       16231.757,    -0.968544,     0.995896,    -0.808280
       16231.768,     -2.03011,      1.01854,    -0.849991
       16231.779,     0.289521,     0.948408,    -0.958932
       16231.791,     -2.08307,     0.977994,    -0.962885
       16231.802,      1.44048,     0.929425,     -1.12880
       16231.812,     -1.03981,      1.04845,    -0.829134
       16231.823,     -1.66890,     0.951301,    -0.631521
       16232.636,     0.379695,      1.00242,    -0.409697
       16232.646,     -2.07159,      1.00822,    -0.279803
       16232.656,     -2.44006,      1.04263,    -0.109430
       16232.665,      1.07192,      1.10538,    -0.314884
       16232.683,      1.20521,      1.04028,    -0.345786
       16232.692,     0.409955,      1.09272,    -0.214846
       16232.700,      1.71835,     0.973915,    0.0275677
       16232.709,    -0.208967,      1.11265,     0.280197
       16233.609,    -0.819508,     0.922945,     0.443467
       16233.618,     -1.37974,     0.975391,     0.474118
       16233.627,    -0.228564,     0.980353,     0.380118
       16233.636,      3.04625,     0.877703,     0.290613
       16233.647,     0.707331,     0.923523,     0.208845
       16233.656,    -0.644085,     0.957287,     0.256148
       16233.665,      1.40908,      1.02918,     0.362990
       16233.674,     0.171205,      1.01933,     0.165768
       16234.630,    -0.574605,      1.00232,    0.0302025
       16234.640,     0.818905,     0.824950,    -0.384036
       16234.651,     0.311363,     0.956187,    -0.622109
       16234.662,     0.355755,     0.932109,    -0.540567
       16235.625,     -3.54918,     0.963117,    -0.892032
       16235.635,     -1.71978,     0.964257,     -1.01260
       16235.645,     -1.51038,      1.00741,     -1.15261
       16235.655,     -1.91147,     0.936872,     -1.41111
       16236.705,     0.252888,      1.01377,     -1.78990
       16236.716,     -2.45704,      1.03584,     -2.23830
       16236.727,     -1.15502,      1.04881,     -2.11102
       16236.737,     -2.11475,     0.955746,     -2.23484
       16237.615,     -2.02454,      1.03162,     -2.51368
       16237.625,     -3.85533,     0.988412,     -2.79607
       16237.636,     -4.57669,      1.01861,     -3.30426
       16237.646,     -2.14907,      1.03520,     -3.45613
       16237.656,     -3.08180,      1.08676,     -3.80929
       16237.664,     -4.57760,      1.17135,     -3.94017
       16237.674,     -5.01783,      1.13692,     -3.91032
       16237.683,     -5.33717,      1.01539,     -4.02127
       16238.590,     -4.12764,      1.11807,     -4.22609
       16238.601,     -5.03974,      1.06573,     -4.46295
       16238.611,     -3.55442,      1.07154,     -4.60469
       16238.622,     -1.69627,      1.14383,     -4.59712
       16238.634,     -5.07574,      1.06053,     -4.61228
       16238.644,     -6.82967,      1.07790,     -4.48046
       16238.654,     -4.75461,      1.12923,     -4.41197
       16238.663,     -4.64087,      1.12657,     -4.38118
       16239.663,     -4.49434,     0.982404,     -4.57920
       16239.673,     -5.18458,      1.07211,     -4.88423
       16239.683,     -3.88718,     0.954187,     -4.53267
       16239.693,     -3.37427,      1.04774,     -4.01299
       16241.718,     -4.70108,     0.976484,     -3.86221
       16241.729,     -5.73260,     0.964819,     -3.76066
       16241.739,     -5.05161,     0.924722,     -3.84671
       16241.750,     -1.20859,     0.984170,     -3.68407
       16242.716,     -1.11321,     0.925615,     -3.21545
       16242.726,     -3.09595,     0.983685,     -3.11508
       16242.737,     -3.52387,      1.02809,     -2.93885
       16242.748,     -5.44090,      1.00868,     -2.70751
       16243.663,     -3.39548,     0.998892,     -2.39591
       16243.673,      1.26764,     0.998500,     -2.40481
       16243.684,     -2.27026,     0.978303,     -2.57893
       16243.694,     -2.76253,     0.927576,     -2.67160
       16244.630,     -3.18788,     0.986943,     -2.57910
       16244.641,     -1.62399,     0.969470,     -2.11247
       16244.651,     -1.30649,     0.986118,     -1.85195
       16244.662,     -3.02857,     0.963188,     -1.54557
       16245.665,     -4.11525,     0.974817,     -1.31575
       16245.675,     -2.50642,      1.03019,    -0.932176
       16245.685,    -0.307931,      1.01876,    -0.490192
       16245.695,    -0.529743,      1.03071,    -0.333423
       16248.621,      4.63778,     0.975112,   -0.0449797
       16248.632,     0.257786,     0.938040,     0.180997
       16248.643,      1.45679,     0.974574,     0.564517
       16248.653,      1.67394,     0.946789,     0.841486
       16249.664,     0.100463,      1.03342,      1.14794
       16250.712,      1.86639,     0.909912,      1.17375
       16250.723,    -0.542826,     0.941895,     0.868897
       16250.734,     0.103470,     0.975533,      1.06506
       16250.744,     0.540226,     0.892414,      1.16026
       16251.604,      3.06304,     0.928829,      1.29885
       16251.615,    -0.245798,     0.915605,      1.52982
       16251.625,      1.28439,     0.987618,      1.48492
       16251.636,      2.41561,     0.929312,      1.44203
       16253.649,      2.50391,     0.870688,      1.47903
       16253.658,      3.19843,     0.958511,      1.66033
       16253.668,      2.64119,     0.908353,      1.60894
       16253.678,      1.37243,     0.930579,      1.64309
       16254.666,     -1.01452,      1.00340,      1.38401
       16254.676,     0.510465,      1.06036,      1.05625
       16254.686,      2.53453,     0.984779,     0.967863
       16254.696,      2.49766,     0.998622,     0.399086
       16256.704,     0.129911,     0.966278,   -0.0513399
       16256.715,     -1.56550,     0.980326,    -0.424572
       16256.725,     -1.18977,     0.976192,    -0.745435
       16256.736,      1.53166,     0.995978,    -0.871255
       16257.666,     -3.05811,     0.927906,     -1.19227
       16257.677,     -2.31349,      1.06025,     -1.68939
       16257.687,     -2.73313,     0.971589,     -2.04233
       16257.698,     -4.54400,     0.984035,     -2.10211
       16259.595,    -0.873552,      1.00756,     -2.44810
       16259.605,    -0.996631,     0.968991,     -2.86934
       16259.614,     -2.97069,     0.989749,     -2.84300
